RelativeDensity,Proportion
0.25,1
0.25,1
0.25,1
0.25,0.77
0.25,0.73
0.25,0.556
0.5,1
0.5,1
0.5,1
0.5,1
0.5,1
0.5,0.94
0.75,1
0.75,1
0.75,1
0.75,1
0.75,1
0.75,0.92
