RelativeDensity,Proportion
0.25,0.285
0.25,0.291
0.25,0.378
0.25,0.88
0.5,0.268
0.5,0.6
0.5,0.6
0.5,0.65
0.75,0.78
0.75,0.83
0.75,0.88
0.75,1
0.75,0.95
