Experiment,RelativeDensity,Proportion,StandardError
Cobble,0.1,0.054,0.045
Cobble,0.3,0.24,0.034
Cobble,0.5,0.52,0.12
Cobble,0.7,0.67,0.137
Cobble,0.9,0.95,0.046
Shell,0.1,0.0635,0.0595
Shell,0.3,0.18,0.108
Shell,0.5,0.486,0.092
Shell,0.7,0.37,0.05
Shell,0.9,1,0
